"LIQUIDO A GRANEL"
"Navio
Ship";"Bandeira
Flag";"Com/Len
Cal/Draft";"Nav";"Cheg/Arrival
d/m/y";"Carimbo
Notice";"Agência
Office";"Operaç
Operat";"Mercadoria
Goods";"Peso
Weight";"Viagem
Voyage";"DUV";"P";"Terminal";"IMO"
"MSC SHREYA B";"PORTUGUESA";"330
11.3";"Long";"19/09/2025";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
27000";"4105-7
2025";"411162025";"B";"TECON";"09778105";""
"MSC SURABAYA VIII";"LIBERIANA";"332
13.8";"Long";"19/09/2025";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"27000
1800";"4034-2
2025";"403722025";"B";"B.T.P. 1";"09330068";""
"MSC VANESSA";"PANAMENHA";"300
10.4";"Long";"19/09/2025";"";"MSC MEDITERRANEAN SHIPPING DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
14400";"1962-6
2025";"199772025";"B";"B.T.P. 1";"09251688";""
"MYD TIANJIN";"PANAMENHA";"182
8";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"12600
12600";"4147-1
2025";"371972025";"B";"EPORT 1/TECON 1";"09202168";""
"SAN MARCO MAERSK";"DINAMARQUESA";"333
9";"Long";"19/09/2025";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"2248-5
2025";"225802025";"B";"EPORT 1/TECON 1";"09622215";""
"SANTA INES";"DINAMARQUESA";"300
9";"Long";"19/09/2025";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"3621-1
2025";"290682025";"B";"B.T.P. 1";"09444845";""
"XIAMEN EXPRESS";"HONG KONG";"336
5";"Long";"19/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1080
26226";"4156--
2025";"415642025";"B";"B.T.P. 1";"09630420";""
"XIN CHANG SHA";"CHINESA";"263
11.5";"Long";"19/09/2025";"";"COSCO BRASIL S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"9000
3600";"2801-6
2025";"279352025";"B";"TECON";"09312559";""
"XIN CHONG QING";"CHINESA";"263
11.5";"Long";"19/09/2025";"";"COSCO BRASIL S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"3600
9000";"4201-6
2025";"422192025";"B";"TECON";"09262118";""
"XIN CHONG QING";"CHINESA";"263
11.5";"Long";"19/09/2025";"";"COSCO BRASIL S/A";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"9000
3600";"3248-9
2025";"325772025";"B";"TECON";"09262118";""
