"LIQUIDO A GRANEL"
"Navio
Ship";"Bandeira
Flag";"Com/Len
Cal/Draft";"Nav";"Cheg/Arrival
d/m/y";"Carimbo
Notice";"Agência
Office";"Operaç
Operat";"Mercadoria
Goods";"Peso
Weight";"Viagem
Voyage";"DUV";"P";"Terminal";"IMO"
"MYRA BAY";"ILHA DE MAN";"190
12";"Long";"19/09/2025";"";"WAYPOINT AGENCIA MARITIMA LTDA";"EMB
";"SOJA A GRANEL
";"55000
";"4152-5
2025";"411192025";"B";"19-20/21";"09626986";""
"PERSISTENCE DIVA";"LIBERIANA";"229
13.4";"Long";"19/09/2025";"";"ALPHAMAR AGÊNCIA MARÍTIMA LTDA.";"EMB
";"MILHO A GRANEL
";"80300
";"4325-7
2025";"425152025";"B";"TGG";"09912452";""
"SCARLET STORK";"PANAMENHA";"229
13.5";"Long";"19/09/2025";"";"AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.";"EMB
";"MILHO A GRANEL
";"65000
";"3510-5
2025";"351132025";"B";"19";"09865336";""
"INDIAN HARMONY";"LIBERIANA";"225
12.2";"Long";"19/09/2025 11:30:00";"4150-5";"ALPHAMAR AGÊNCIA MARÍTIMA LTDA.";"EMB
";"PELLETS A GRANEL
";"59015
";"4319-7
2025";"425132025";"B";"38";"09626651";""
"TINOS";"LIBERIANA";"229
12.2";"Long";"19/09/2025 13:00:00";"4151-3";"WAYPOINT AGENCIA MARITIMA LTDA";"EMB
";"PELLETS A GRANEL
";"55000
";"4288-4
2025";"422962025";"B";"35/37";"09597795";""
"SHINE CRYSTAL";"LIBERIANA";"229
13.5";"Long";"20/09/2025";"";"AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.";"EMB
";"MILHO A GRANEL
";"60000
";"4331-7
2025";"433602025";"B";"TEG";"01041398";""
"PORT NAGASAKI";"ILHAS MARSHALL";"200
12.2";"Long";"20/09/2025 08:00:00";"";"FERTIMPORT S/A.";"EMB
";"MILHO A GRANEL
";"60000
";"4363-6
2025";"432922025";"B";"39";"09965851";""
"UNION MARINER";"GREGA";"229
13.5";"Long";"21/09/2025";"";"AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.";"EMB
";"MILHO A GRANEL
";"65000
";"4337-5
2025";"434912025";"B";"12A-13/14-20/21";"09628934";""
"ANTARES";"ILHAS MARSHALL";"229
13.4";"Long";"23/09/2025 08:00:00";"";"ALPHAMAR AGÊNCIA MARÍTIMA LTDA.";"EMB
";"SOJA A GRANEL
";"69711
";"4350-1
2025";"432762025";"B";"13/14-RODR/MULT";"09696412";""
"KASTOR";"LIBERIANA";"229
12.7";"Long";"23/09/2025 08:00:00";"";"ALPHAMAR AGÊNCIA MARÍTIMA LTDA.";"EMB
";"PELLETS A GRANEL
";"67500
";"4388-9
2025";"436552025";"B";"38";"09843405";""
"WADI ALMOLOUK";"EGIPCIA";"229
12.7";"Long";"23/09/2025 08:00:00";"";"ALPHAMAR AGÊNCIA MARÍTIMA LTDA.";"EMB
";"PELLETS A GRANEL
";"67500
";"4379-0
2025";"432422025";"B";"35/37";"09897999";""
"RIZOKARPASO";"CIPRIOTA";"229
9";"Long";"27/09/2025 10:00:00";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
";"PELLETS A GRANEL
";"66000
";"4395-5
2025";"438862025";"B";"39";"09975478";""
"SAINT MYRON";"MALTESA";"225
13";"Long";"27/09/2025 10:30:00";"";"FERTIMPORT S/A.";"EMB
";"MILHO A GRANEL
";"68000
";"4303-3
2025";"426952025";"B";"TGG";"09675597";""
"VELA";"ILHAS MARSHALL";"229
12";"Long";"28/09/2025";"";"FERTIMPORT S/A.";"EMB
";"SOJA A GRANEL
";"68000
";"4357-6
2025";"434712025";"B";"ULTRAFERTIL";"09731183";""
"INGENUITY";"LIBERIANA";"225
12.3";"Long";"02/10/2025 08:00:00";"";"WAYPOINT AGENCIA MARITIMA LTDA";"EMB
";"MILHO A GRANEL
";"65000
";"4353--
2025";"434992025";"B";"TGG";"09710787";""
"PANOPI";"LIBERIANA";"230
12";"Long";"03/10/2025";"";"BERNARDINO & DEMETRIO SANTOS AGENCIAMENTO MARITIMO LTDA";"EMB
";"MILHO A GRANEL
";"73000
";"4362-0
2025";"434452025";"B";"39";"09554183";""
"PENDULUM";"ILHAS MARSHALL";"230
12.2";"Long";"05/10/2025 08:00:00";"";"FERTIMPORT S/A.";"EMB
";"MILHO A GRANEL
";"68000
";"4358-2
2025";"426632025";"B";"TGG";"09344095";""
"GRANEIS SOLIDOS - IMPORTACAO"
"Navio
Ship";"Bandeira
Flag";"Com/Len
Cal/Draft";"Nav";"Cheg/Arrival
d/m/y";"Carimbo
Notice";"Agência
Office";"Operaç
Operat";"Mercadoria
Goods";"Peso
Weight";"Viagem
Voyage";"DUV";"P";"Terminal";"IMO"
"DELIGHT DIVA";"PANAMENHA";"229
7";"Long";"04/09/2025 08:00:00";"3930-6";"JBG - AGENCIAMENTOS MARITIMOS E TRANSPORTES LTDA";"
DESC";"
FERTILIZANTES";"
77390";"3879-9
2025";"383342025";"B";"TERMAG";"09959761";""
"HARVEST LEGACY";"PANAMENHA";"190
5.4";"Long";"09/09/2025 02:42:00";"3992-6";"AMART SERVICES CONSULT AG MARITIMO E TRANSP LTDA";"
DESC";"
FERTILIZANTES";"
31945";"4107-0
2025";"412182025";"B";"CODESP-ULTRF";"09284245";""
"AMIS JUSTICE";"PANAMENHA";"200
9";"Long";"12/09/2025 06:30:00";"4033-9";"ROCHAMAR AGENCIA MARITIMA S/A";"
DESC";"
FERTILIZANTES";"
49500";"4020-1
2025";"403512025";"B";"ULTRAFERTIL";"09732424";""
"FOREVER SW";"PANAMENHA";"190
9";"Long";"14/09/2025 02:00:00";"4061-4";"ORION OPERACOES PORTUARIAS LTDA";"
DESC";"
SAL A GRANEL";"
50050";"4131-8
2025";"409642025";"B";"30/31";"09425837";""
"SHANDONG XIN ZE";"ILHAS MARSHALL";"229
9";"Long";"14/09/2025 17:00:00";"4071-1";"FERTIMPORT S/A.";"
DESC";"
FERTILIZANTES";"
76895";"4113-0
2025";"406942025";"B";"TERMAG";"01026570";""
"LYRA M";"ILHAS MARSHALL";"190
6.9";"Long";"16/09/2025 05:20:00";"4091-6";"WORLD SHIPPING AGENCIAMENTOS LTDA";"
DESC";"
FERTILIZANTES";"
42130";"4155-4
2025";"415482025";"B";"CODESP-RUA";"09668063";""
"YM NAVIGATOR";"PANAMENHA";"229
5";"Long";"17/09/2025 00:36:00";"4109-2";"ROCHAMAR AGENCIA MARITIMA S/A";"
DESC";"
FERTILIZANTES";"
77600";"4199-1
2025";"412662025";"B";"TERMAG";"09518191";""
"ANNA DOROTHEA";"LIBERIANA";"190
7";"Long";"18/09/2025 11:50:00";"4139-4";"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO";"
DESC";"
FERTILIZANTES";"
10000";"4190-4
2025";"418782025";"B";"35/37-SABOO";"09482213";""
"MARCOS DIAS";"BRASILEIRA";"199
7";"Cabo";"18/09/2025 21:25:00";"4142-4";"HMS BRASIL AGECIAMENTOS MARÍTIMOS LTDA";"
DESC";"
SAL A GRANEL";"
43500";"4316-8
2025";"427132025";"B";"23";"09070565";""
"KANSU";"SINGAPURENSE";"180
6.2";"Long";"19/09/2025";"";"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO";"
DESC";"
FERTILIZANTES";"
22104";"4114-6
2025";"413792025";"B";"CAIS SABOO";"09860283";""
"AKSON SANDRA";"PANAMENHA";"190
7";"Long";"20/09/2025 05:00:00";"";"WAYPOINT AGENCIA MARITIMA LTDA";"
DESC";"
FERTILIZANTES";"
35000";"4390-3
2025";"438912025";"B";"32-SABOÓ";"09537264";""
"MYKONOS DAWN";"ILHAS MARSHALL";"181
7";"Long";"21/09/2025 05:00:00";"";"ORION OPERACOES PORTUARIAS LTDA";"
DESC";"
FERTILIZANTES";"
28700";"3985-3
2025";"401122025";"B";"CODESP-RUA";"09762481";""
"SIIRT";"MALTESA";"200
7";"Long";"22/09/2025 05:00:00";"";"ORION OPERACOES PORTUARIAS LTDA";"
DESC";"
FERTILIZANTES";"
55062";"4106-3
2025";"401252025";"B";"23";"09644196";""
"AL WATHBA";"LIBERIANA";"200
7";"Long";"22/09/2025 06:00:00";"";"TRANSATLANTICA AFRETAMENTOS E SERVICOS MARITIMOS LTDA";"
DESC";"
ENXOFRE A GRANEL";"
43049";"4328-6
2025";"434542025";"B";"ULTRAFERTIL";"09852743";""
"PORT KOBE";"LIBERIANA";"200
7";"Long";"23/09/2025 05:00:00";"";"ORION OPERACOES PORTUARIAS LTDA";"
DESC";"
FERTILIZANTES";"
49347";"4045-4
2025";"407462025";"B";"ULTRAFERTIL";"09767534";""
"LONGEVITY DIVA";"LIBERIANA";"229
9";"Long";"23/09/2025 13:00:00";"";"ORION OPERACOES PORTUARIAS LTDA";"
DESC";"
FERTILIZANTES";"
77000";"4320-5
2025";"399172025";"B";"TERMAG";"09905629";""
"DSI PHOENIX";"ILHAS MARSHALL";"200
7.1";"Long";"23/09/2025 18:00:00";"";"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO";"
DESC";"
FERTILIZANTES";"
49499";"4302-7
2025";"428982025";"B";"ULTRAFERTIL";"09738337";""
"BETTY";"ILHAS MARSHALL";"186
8";"Long";"24/09/2025 05:00:00";"";"ORION OPERACOES PORTUARIAS LTDA";"
DESC";"
FERTILIZANTES";"
14000";"4393-2
2025";"429692025";"B";"CODESP-RUA";"09522881";""
"SOZON";"LIBERIANA";"190
9.2";"Long";"25/09/2025 13:00:00";"";"WORLD SHIPPING AGENCIAMENTOS LTDA";"
DESC";"
FERTILIZANTES";"
22650";"4356-0
2025";"433772025";"B";"CODESP-RUA";"09401922";""
"SAGA JOURNEY";"BAHAMENSE";"199
7.9";"Long";"26/09/2025";"";"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO";"
DESC";"
FERTILIZANTES";"
11238";"4330--
2025";"434662025";"B";"CAIS SABOO";"09363637";""
"PL FAITH";"MALTESA";"186
7";"Long";"29/09/2025";"";"ORION OPERACOES PORTUARIAS LTDA";"
DESC";"
FERTILIZANTES";"
25511";"4336-9
2025";"423422025";"B";"CODESP-RUA";"09595204";""
"ALEXANDROS P.";"LIBERIANA";"200
7.4";"Long";"03/10/2025 08:00:00";"";"WORLD SHIPPING AGENCIAMENTOS LTDA";"
DESC";"
FERTILIZANTES";"
31800";"4389-5
2025";"438172025";"B";"CODESP-ULTRF";"09723045";""
"GRANEIS SOLIDOS - EXPORTACAO"
"Navio
Ship";"Bandeira
Flag";"Com/Len
Cal/Draft";"Nav";"Cheg/Arrival
d/m/y";"Carimbo
Notice";"Agência
Office";"Operaç
Operat";"Mercadoria
Goods";"Peso
Weight";"Viagem
Voyage";"DUV";"P";"Terminal";"IMO"
"EXCELSIOR DIVA";"PANAMENHA";"200
6.4";"Long";"28/08/2025 08:24:00";"3820-2";"ALPHAMAR AGÊNCIA MARÍTIMA LTDA.";"EMB
";"FERTILIZANTES
";"23650
";"3960--
2025";"393722025";"B";"ULTRAFERTIL";"09960198";""
"EXCELSIOR DIVA";"PANAMENHA";"200
12";"Long";"12/09/2025 16:06:00";"4040-1";"WILLIAMS SERVICOS MARITIMOS LTDA.";"EMB
";"ACUCAR A GRANEL
";"60000
";"4231-2
2025";"423772025";"B";"20/21";"09960198";""
"LOYALTY";"LIBERIANA";"176
9.9";"Long";"16/09/2025 12:30:00";"4097-5";"WILLIAMS SERVICOS MARITIMOS LTDA.";"EMB
";"ACUCAR A GRANEL
";"20000
";"4064-9
2025";"409512025";"B";"20/21";"09497488";""
"CD MANZANILLO";"SINGAPURENSE";"200
13";"Long";"16/09/2025 16:30:00";"4103-3";"WAYPOINT AGENCIA MARITIMA LTDA";"EMB
";"ACUCAR A GRANEL
";"60000
";"4210-5
2025";"421942025";"B";"AR.12A - BG/ITA";"09883120";""
"PANTAZIS L";"LIBERIANA";"225
13";"Long";"17/09/2025 17:48:00";"4123-8";"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO";"EMB
";"ACUCAR A GRANEL
";"70914
";"4232-9
2025";"415312025";"B";"12A-16/17-19";"09272955";""
"SOUNION";"PANAMENHA";"200
11.2";"Long";"18/09/2025 13:00:00";"4140-8";"WILLIAMS SERVICOS MARITIMOS LTDA.";"EMB
";"ACUCAR A GRANEL
";"58890
";"4220--
2025";"422862025";"B";"20/21";"09949467";""
"ROYAL PEARL";"PANAMENHA";"200
8";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"ACUCAR A GRANEL
";"59995
";"4294-4
2025";"428312025";"B";"ULTRAFERTIL";"09941972";""
"OSLO VENTURE";"HONG KONG";"200
10.2";"Long";"19/09/2025 07:00:00";"";"WILLIAMS SERVICOS MARITIMOS LTDA.";"EMB
";"ACUCAR A GRANEL
";"35000
";"4332-3
2025";"434352025";"B";"16/17";"09693185";""
"N AMALTHIA";"PANAMENHA";"225
13.3";"Long";"19/09/2025 07:24:00";"4147-5";"WILLIAMS SERVICOS MARITIMOS LTDA.";"EMB
";"ACUCAR A GRANEL
";"75000
";"4252-0
2025";"425502025";"B";"20/21";"09364277";""
"BBG MASTER";"LIBERIANA";"200
12.2";"Long";"20/09/2025 08:00:00";"";"WAYPOINT AGENCIA MARITIMA LTDA";"EMB
";"ACUCAR A GRANEL
";"50400
";"4242-4
2025";"423912025";"B";"AR.12A - BG/ITA";"09721982";""
"BLUE OPAL";"LIBERIANA";"229
7";"Long";"22/09/2025 05:00:00";"";"ORION OPERACOES PORTUARIAS LTDA";"EMB
";"ACUCAR A GRANEL
";"75000
";"4263-1
2025";"421992025";"B";"16/17";"09474644";""
"PINDOS";"BARBADOS";"190
11";"Long";"26/09/2025 07:00:00";"";"WILLIAMS SERVICOS MARITIMOS LTDA.";"EMB
";"ACUCAR A GRANEL
";"45975
";"4230-6
2025";"422902025";"B";"16/17";"09761322";""
"THERESA GLORY";"PANAMENHA";"200
12.5";"Long";"27/09/2025 07:00:00";"";"WILLIAMS SERVICOS MARITIMOS LTDA.";"EMB
";"ACUCAR A GRANEL
";"60000
";"4367-1
2025";"437252025";"B";"20/21";"09952220";""
"AKAKI";"CIPRIOTA";"235
12";"Long";"29/09/2025";"";"WILLIAMS SERVICOS MARITIMOS LTDA.";"EMB
";"ACUCAR A GRANEL
";"70000
";"4063-2
2025";"408522025";"B";"ULTRAFERTIL";"09591143";""
"TAHO EUDAIMONIA";"LIBERIANA";"228
14";"Long";"02/10/2025 07:00:00";"";"WILLIAMS SERVICOS MARITIMOS LTDA.";"EMB
";"ACUCAR A GRANEL
";"80940
";"4333-0
2025";"434412025";"B";"20/21";"09919319";""
"GENEVAN TRADER";"PANAMENHA";"229
14";"Long";"04/10/2025 07:00:00";"";"WILLIAMS SERVICOS MARITIMOS LTDA.";"EMB
";"ACUCAR A GRANEL
";"75000
";"4334-6
2025";"434442025";"B";"20/21";"09846122";""
"ROLL-IN-ROLL-OFF"
"Navio
Ship";"Bandeira
Flag";"Com/Len
Cal/Draft";"Nav";"Cheg/Arrival
d/m/y";"Carimbo
Notice";"Agência
Office";"Operaç
Operat";"Mercadoria
Goods";"Peso
Weight";"Viagem
Voyage";"DUV";"P";"Terminal";"IMO"
"GRANDE AMBURGO";"ITALIANA";"214
9";"Long";"19/09/2025";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"3600
1800";"3802-6
2025";"278162025";"B";"CAIS SABOO";"09246607";""
"GRANDE LAGOS";"ITALIANA";"236
9";"Long";"19/09/2025";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"5400
5400";"4289--
2025";"332672025";"B";"CAIS SABOO";"09672088";""
"LAVENDER ACE";"PANAMENHA";"200
9";"Long";"20/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"VEICULOS/VRS/CCS.RO-RO
VEICULOS/VRS/CCS.RO-RO";"1629
87";"4290-9
2025";"427932025";"B";"TEVI";"09363948";""
"ARC RESOLVE";"ESTADUNIDENSE";"199
8.4";"Long";"21/09/2025";"";"WILHELMSEN PORT SERVICES BRASIL LTDA";"EMB
DESC";"VEICULO
VEICULO";"5693
634";"4348-7
2025";"424972025";"B";"TEVI";"09316141";""
"PARADISE ACE";"PANAMENHA";"200
9";"Long";"21/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
DESC";"VEICULOS/VRS/CCS.RO-RO
VEICULOS/VRS/CCS.RO-RO";"1306
341";"4326-3
2025";"434472025";"B";"TEVI";"09293648";""
"GUARDIAN LEADER";"BAHAMENSE";"200
9";"Long";"22/09/2025 11:12:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"VEICULOS/VRS/CCS.RO-RO
VEICULOS/VRS/CCS.RO-RO";"2500
2500";"4229-8
2025";"372552025";"B";"TEVI";"09388716";""
"POLARIS LEADER";"SINGAPURENSE";"180
9";"Long";"23/09/2025 01:00:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"VEICULOS/VRS/CCS.RO-RO
CONTEINERES CHEIOS";"10
1800";"4228-1
2025";"375602025";"B";"TEVI";"09372810";""
"HEROIC ACE";"PANAMENHA";"198
9.1";"Long";"25/09/2025 01:00:00";"";"GLS BRASIL SERVICOS MARITIMOS";"EMB
DESC";"VEICULOS/VRS/CCS.RO-RO
VEICULOS/VRS/CCS.RO-RO";"3000
264";"4017--
2025";"402862025";"B";"TEVI";"09252216";""
"NEPTUNE HELLAS";"MALTESA";"168
8";"Long";"25/09/2025 07:00:00";"";"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO";"EMB
";"VEICULOS/VRS/CCS.RO-RO
";"2530
";"4396-1
2025";"438692025";"B";"TEVI";"09440148";""
"GRANDE NIGERIA";"ITALIANA";"214
9";"Long";"26/09/2025 09:00:00";"";"LACHMANN AGENCIA MARITIMA LTDA";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"3600
3600";"4355-3
2025";"347502025";"B";"CAIS SABOO";"09246580";""
"INTEGRADOR";"PANAMENHA";"120
5";"Long";"30/09/2025 01:00:00";"";"GLS BRASIL SERVICOS MARITIMOS";"EMB
";"VEICULO
";"600
";"4191--
2025";"411502025";"B";"TEVI";"09079212";""
"LASH"
"Navio
Ship";"Bandeira
Flag";"Com/Len
Cal/Draft";"Nav";"Cheg/Arrival
d/m/y";"Carimbo
Notice";"Agência
Office";"Operaç
Operat";"Mercadoria
Goods";"Peso
Weight";"Viagem
Voyage";"DUV";"P";"Terminal";"IMO"
"NORMAND MAXIMUS";"NORUEGUESA";"178
8";"Long";"14/08/2025 03:00:00";"3575--";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"2817-0
2025";"281612025";"B";"SAIPEN";"09744518";""
"SIEM ATLAS";"BRASILEIRA";"88
4";"Long";"18/08/2025 09:15:00";"3656--";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"2872--
2025";"289232025";"B";"SAIPEN";"09578660";""
"MANDRIÃO (REB)";"BRASILEIRA";"76
4";"Long";"25/08/2025 06:00:00";"3760-5";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"3660-7
2025";"364142025";"B";"SAIPEN";"09645542";""
"PARCEL DOS MEROS (REB)";"BRASILEIRA";"80
4";"Long";"31/08/2025 13:30:00";"3871-7";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"3556-5
2025";"354822025";"B";"SAIPEN";"09343596";""
"SKANDI ACHIEVER (REB)";"BRASILEIRA";"106
4";"Long";"02/09/2025 22:30:00";"3909-8";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"4015-8
2025";"404222025";"B";"SAIPEN";"09413810";""
"HOS TAURUS (REB)";"BRASILEIRA";"85
4";"Long";"02/09/2025 23:40:00";"3911-0";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"3729-7
2025";"373742025";"B";"SAIPEN";"09385271";""
"CBO FLAMENGO";"BRASILEIRA";"89
5";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"1749--
2025";"179802025";"B";"SAIPEN";"09578880";""
"CBO FLAMENGO";"BRASILEIRA";"89
4";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1000
";"2873-7
2025";"289242025";"B";"SAIPEN";"09578880";""
"CBO FLAMENGO";"BRASILEIRA";"89
5";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1000
";"2830-6
2025";"282032025";"B";"SAIPEN";"09578880";""
"HOS REMINGTON";"MEXICANA";"82
4";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"3843-4
2025";"386252025";"B";"SAIPEN";"09686144";""
"HOS REMINGTON";"MEXICANA";"82
4";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"3487-3
2025";"348352025";"B";"SAIPEN";"09686144";""
"HOS TAURUS (REB)";"BRASILEIRA";"85
4";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"GRAN.LIQUIDO NAO ESPECIF
";"1
";"4052--
2025";"402352025";"B";"SAIPEN";"09385271";""
"HOS TAURUS (REB)";"BRASILEIRA";"85
4";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"3191-7
2025";"319862025";"B";"SAIPEN";"09385271";""
"JSD6000";"BAHAMENSE";"214
8";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"3863-5
2025";"388142025";"B";"SAIPEN";"09739408";""
"JSD6000";"BAHAMENSE";"214
8";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1000
";"2874-3
2025";"282922025";"B";"SAIPEN";"09739408";""
"NORMAND MAXIMUS";"NORUEGUESA";"178
8";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"3585-5
2025";"358192025";"B";"SAIPEN";"09744518";""
"PARCEL DOS MEROS (REB)";"BRASILEIRA";"80
4";"Long";"19/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"3728--
2025";"373692025";"B";"SAIPEN";"09343596";""
"TS 10";"BRASILEIRA";"75
3.3";"Cabo";"19/09/2025";"";"BPA AGENCIAMENTOS MARITIMOS LTDA.";"EMB
";"CARGA GERAL
";"150
";"4285-5
2025";"427832025";"B";"SAIPEN";"09999224";""
"MANDRIÃO (REB)";"BRASILEIRA";"76
4";"Long";"20/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"3835-1
2025";"384082025";"B";"SAIPEN";"09645542";""
"MANDRIÃO (REB)";"BRASILEIRA";"76
4";"Long";"25/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"3944-5
2025";"397072025";"B";"SAIPEN";"09645542";""
"SEA1 ATLAS";"BRASILEIRA";"88
4";"Long";"25/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"4051-4
2025";"398312025";"B";"SAIPEN";"09578660";""
"SKANDI ACHIEVER (REB)";"BRASILEIRA";"106
4";"Long";"01/10/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"4123-5
2025";"413162025";"B";"SAIPEN";"09413810";""
"PARCEL DOS MEROS (REB)";"BRASILEIRA";"80
4";"Long";"03/10/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"4121-2
2025";"410162025";"B";"SAIPEN";"09343596";""
"HOS TAURUS (REB)";"BRASILEIRA";"85
4";"Long";"20/10/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"4392-6
2025";"437412025";"B";"SAIPEN";"09385271";""
"SEA1 ATLAS";"BRASILEIRA";"88
4";"Long";"20/10/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"CARGA GERAL
";"1
";"4391-0
2025";"439142025";"B";"SAIPEN";"09578660";""
"CABOTAGEM"
"Navio
Ship";"Bandeira
Flag";"Com/Len
Cal/Draft";"Nav";"Cheg/Arrival
d/m/y";"Carimbo
Notice";"Agência
Office";"Operaç
Operat";"Mercadoria
Goods";"Peso
Weight";"Viagem
Voyage";"DUV";"P";"Terminal";"IMO"
"BATAVIA EXPRESS";"SINGAPURENSE";"215
8";"Long";"24/09/2025";"";"UNIMAR AGENCIAMENTOS MARITIMOS LTDA";"EMB
";"PAPEL E CELULOSE
";"47500
";"4251-3
2025";"425102025";"B";"35/37";"09539987";""
"CHIPOLBROK MOON";"HONG KONG";"200
7";"Long";"24/09/2025 05:00:00";"";"ORION OPERACOES PORTUARIAS LTDA";"EMB
";"CARGA GERAL
";"394
";"4366-5
2025";"430482025";"B";"CAIS SABOO";"09272216";""
"UAL MANITOBA";"PORTUGUESA";"139
7.5";"Long";"25/09/2025 13:00:00";"";"ORION OPERACOES PORTUARIAS LTDA";"EMB
";"CARGA GERAL
";"811
";"4365-9
2025";"436732025";"B";"CAIS SABOO";"09384320";""
"XIANG FU";"LIBERIANA";"200
13.5";"Long";"26/09/2025 06:00:00";"";"WILSON SONS S/A - COMERCIO, INDUSTRIA E AGENCIA DE NAVEGACAO";"EMB
";"PAPEL E CELULOSE
";"45800
";"4386-6
2025";"426402025";"B";"CODESP-RUA";"09998121";""
"PINE ARROW";"BAHAMENSE";"190
9";"Long";"29/09/2025";"";"ROCHAMAR AGENCIA MARITIMA S/A";"EMB
";"PAPEL E CELULOSE
";"4000
";"4381-4
2025";"438822025";"B";"EPORT 1/TECON 1";"09107306";""
"BBC NORFOLK";"ANTIGUANA";"132
6.5";"Long";"05/10/2025 06:00:00";"";"BPA AGENCIAMENTOS MARITIMOS LTDA.";"
DESC";"
PRODUTOS SIDERURGICOS";"
3152";"4311-6
2025";"431662025";"B";"USIMINAS";"09559884";""
"CONTEINERES"
"Navio
Ship";"Bandeira
Flag";"Com/Len
Cal/Draft";"Nav";"Cheg/Arrival
d/m/y";"Carimbo
Notice";"Agência
Office";"Operaç
Operat";"Mercadoria
Goods";"Peso
Weight";"Viagem
Voyage";"DUV";"P";"Terminal";"IMO"
"AS CAROLINA";"PORTUGUESA";"222
11";"Long";"25/07/2025 10:30:00";"3279-4";"ZIM DO BRASIL LTDA.";"EMB
DESC";"CONTEINERES CHEIOS
CONTEINERES CHEIOS";"1800
1800";"3240-8
2025";"325752025";"B";"TECON";"09314935";""
